2022-12-29 07:01:00,Carly Short,drinks
2022-12-29 07:02:00,Carly Short,drinks
2022-12-29 07:02:00,John Le,drinks
2022-12-29 07:02:00,Tracey Sandoval,dairy
2022-12-29 07:02:00,Paul Brown,dairy
2022-12-29 07:03:00,Carly Short,checkout
2022-12-29 07:03:00,John Le,drinks
2022-12-29 07:03:00,Tracey Sandoval,spices
2022-12-29 07:03:00,Paul Brown,dairy
2022-12-29 07:04:00,John Le,drinks
2022-12-29 07:04:00,Tracey Sandoval,drinks
2022-12-29 07:04:00,Paul Brown,dairy
2022-12-29 07:04:00,Dana Cooper,fruit
2022-12-29 07:04:00,Michael Davis,dairy
2022-12-29 07:05:00,John Le,fruit
2022-12-29 07:05:00,Tracey Sandoval,drinks
2022-12-29 07:05:00,Paul Brown,drinks
2022-12-29 07:05:00,Dana Cooper,fruit
2022-12-29 07:05:00,Michael Davis,dairy
2022-12-29 07:05:00,Thomas Smith,fruit
2022-12-29 07:05:00,Leonard Smith,drinks
2022-12-29 07:06:00,John Le,drinks
2022-12-29 07:06:00,Tracey Sandoval,checkout
2022-12-29 07:06:00,Paul Brown,drinks
2022-12-29 07:06:00,Dana Cooper,fruit
2022-12-29 07:06:00,Michael Davis,dairy
2022-12-29 07:06:00,Thomas Smith,fruit
2022-12-29 07:06:00,Leonard Smith,fruit
2022-12-29 07:07:00,John Le,checkout
2022-12-29 07:07:00,Paul Brown,drinks
2022-12-29 07:07:00,Dana Cooper,fruit
2022-12-29 07:07:00,Michael Davis,dairy
2022-12-29 07:07:00,Thomas Smith,dairy
2022-12-29 07:07:00,Leonard Smith,dairy
2022-12-29 07:08:00,Paul Brown,drinks
2022-12-29 07:08:00,Dana Cooper,drinks
2022-12-29 07:08:00,Michael Davis,dairy
2022-12-29 07:08:00,Thomas Smith,checkout
2022-12-29 07:08:00,Leonard Smith,dairy
2022-12-29 07:08:00,Wayne Bell,fruit
2022-12-29 07:08:00,April Garcia,dairy
2022-12-29 07:09:00,Paul Brown,fruit
2022-12-29 07:09:00,Dana Cooper,drinks
2022-12-29 07:09:00,Michael Davis,dairy
2022-12-29 07:09:00,Leonard Smith,checkout
2022-12-29 07:09:00,Wayne Bell,fruit
2022-12-29 07:09:00,April Garcia,dairy
2022-12-29 07:09:00,Devon Clark,dairy
2022-12-29 07:09:00,Spencer Vargas,spices
2022-12-29 07:09:00,Matthew Jackson,dairy
2022-12-29 07:10:00,Paul Brown,checkout
2022-12-29 07:10:00,Dana Cooper,checkout
2022-12-29 07:10:00,Michael Davis,checkout
2022-12-29 07:10:00,Wayne Bell,fruit
2022-12-29 07:10:00,April Garcia,dairy
2022-12-29 07:10:00,Devon Clark,dairy
2022-12-29 07:10:00,Spencer Vargas,spices
2022-12-29 07:10:00,Matthew Jackson,dairy
2022-12-29 07:11:00,Dana Cooper,checkout
2022-12-29 07:11:00,Wayne Bell,fruit
2022-12-29 07:11:00,April Garcia,dairy
2022-12-29 07:11:00,Devon Clark,dairy
2022-12-29 07:11:00,Spencer Vargas,dairy
